"lon" "lat" "lm"
"542" 1.5 88.5 0
"543" 2.5 88.5 0
"544" 3.5 88.5 0
"545" 4.5 88.5 0
"546" 5.5 88.5 0
"547" 6.5 88.5 0
"548" 7.5 88.5 0
"549" 8.5 88.5 0
"550" 9.5 88.5 0
"551" 10.5 88.5 0
"552" 11.5 88.5 0
"553" 12.5 88.5 0
"554" 13.5 88.5 0
"555" 14.5 88.5 0
"556" 15.5 88.5 0
"557" 16.5 88.5 0
"558" 17.5 88.5 0
"559" 18.5 88.5 0
"560" 19.5 88.5 0
"561" 20.5 88.5 0
"562" 21.5 88.5 0
"563" 22.5 88.5 0
"564" 23.5 88.5 0
"565" 24.5 88.5 0
"566" 25.5 88.5 0
"567" 26.5 88.5 0
"568" 27.5 88.5 0
"569" 28.5 88.5 0
"570" 29.5 88.5 0
"571" 30.5 88.5 0
"572" 31.5 88.5 0
"573" 32.5 88.5 0
"574" 33.5 88.5 0
"575" 34.5 88.5 0
"576" 35.5 88.5 0
"577" 36.5 88.5 0
"578" 37.5 88.5 0
"579" 38.5 88.5 0
"580" 39.5 88.5 0
"581" 40.5 88.5 0
"582" 41.5 88.5 0
"583" 42.5 88.5 0
"584" 43.5 88.5 0
"585" 44.5 88.5 0
"586" 45.5 88.5 0
"587" 46.5 88.5 0
"588" 47.5 88.5 0
"589" 48.5 88.5 0
"590" 49.5 88.5 0
"591" 50.5 88.5 0
"592" 51.5 88.5 0
"593" 52.5 88.5 0
"594" 53.5 88.5 0
"595" 54.5 88.5 0
"596" 55.5 88.5 0
"597" 56.5 88.5 0
"598" 57.5 88.5 0
"599" 58.5 88.5 0
"600" 59.5 88.5 0
"601" 60.5 88.5 0
"602" 61.5 88.5 0
"603" 62.5 88.5 0
"604" 63.5 88.5 0
"605" 64.5 88.5 0
"606" 65.5 88.5 0
"607" 66.5 88.5 0
"608" 67.5 88.5 0
"609" 68.5 88.5 0
"610" 69.5 88.5 0
"611" 70.5 88.5 0
"612" 71.5 88.5 0
"613" 72.5 88.5 0
"614" 73.5 88.5 0
"615" 74.5 88.5 0
"616" 75.5 88.5 0
"617" 76.5 88.5 0
"618" 77.5 88.5 0
"619" 78.5 88.5 0
"620" 79.5 88.5 0
"621" 80.5 88.5 0
"622" 81.5 88.5 0
"623" 82.5 88.5 0
"624" 83.5 88.5 0
"625" 84.5 88.5 0
"626" 85.5 88.5 0
"627" 86.5 88.5 0
"628" 87.5 88.5 0
"629" 88.5 88.5 0
"630" 89.5 88.5 0
"631" 90.5 88.5 0
"632" 91.5 88.5 0
"633" 92.5 88.5 0
"634" 93.5 88.5 0
"635" 94.5 88.5 0
"636" 95.5 88.5 0
"637" 96.5 88.5 0
"638" 97.5 88.5 0
"639" 98.5 88.5 0
"640" 99.5 88.5 0
"641" 100.5 88.5 0
"642" 101.5 88.5 0
"643" 102.5 88.5 0
"644" 103.5 88.5 0
"645" 104.5 88.5 0
"646" 105.5 88.5 0
"647" 106.5 88.5 0
"648" 107.5 88.5 0
"649" 108.5 88.5 0
"650" 109.5 88.5 0
"651" 110.5 88.5 0
"652" 111.5 88.5 0
"653" 112.5 88.5 0
"654" 113.5 88.5 0
"655" 114.5 88.5 0
"656" 115.5 88.5 0
"657" 116.5 88.5 0
"658" 117.5 88.5 0
"659" 118.5 88.5 0
"660" 119.5 88.5 0
"661" 120.5 88.5 0
"662" 121.5 88.5 0
"663" 122.5 88.5 0
"664" 123.5 88.5 0
"665" 124.5 88.5 0
"666" 125.5 88.5 0
"667" 126.5 88.5 0
"668" 127.5 88.5 0
"669" 128.5 88.5 0
"670" 129.5 88.5 0
"671" 130.5 88.5 0
"672" 131.5 88.5 0
"673" 132.5 88.5 0
"674" 133.5 88.5 0
"675" 134.5 88.5 0
"676" 135.5 88.5 0
"677" 136.5 88.5 0
"678" 137.5 88.5 0
"679" 138.5 88.5 0
"680" 139.5 88.5 0
"681" 140.5 88.5 0
"682" 141.5 88.5 0
"683" 142.5 88.5 0
"684" 143.5 88.5 0
"685" 144.5 88.5 0
"686" 145.5 88.5 0
"687" 146.5 88.5 0
"688" 147.5 88.5 0
"689" 148.5 88.5 0
"690" 149.5 88.5 0
"691" 150.5 88.5 0
"692" 151.5 88.5 0
"693" 152.5 88.5 0
"694" 153.5 88.5 0
"695" 154.5 88.5 0
"696" 155.5 88.5 0
"697" 156.5 88.5 0
"698" 157.5 88.5 0
"699" 158.5 88.5 0
"700" 159.5 88.5 0
"701" 160.5 88.5 0
"702" 161.5 88.5 0
"703" 162.5 88.5 0
"704" 163.5 88.5 0
"705" 164.5 88.5 0
"706" 165.5 88.5 0
"707" 166.5 88.5 0
"708" 167.5 88.5 0
"709" 168.5 88.5 0
"710" 169.5 88.5 0
"711" 170.5 88.5 0
"712" 171.5 88.5 0
"713" 172.5 88.5 0
"714" 173.5 88.5 0
"715" 174.5 88.5 0
"716" 175.5 88.5 0
"717" 176.5 88.5 0
"718" 177.5 88.5 0
"719" 178.5 88.5 0
"720" 179.5 88.5 0
"721" -179.5 87.5 0
"722" -178.5 87.5 0
"723" -177.5 87.5 0
"724" -176.5 87.5 0
"725" -175.5 87.5 0
"726" -174.5 87.5 0
"727" -173.5 87.5 0
"728" -172.5 87.5 0
"729" -171.5 87.5 0
"730" -170.5 87.5 0
"731" -169.5 87.5 0
"732" -168.5 87.5 0
"733" -167.5 87.5 0
"734" -166.5 87.5 0
"735" -165.5 87.5 0
"736" -164.5 87.5 0
"737" -163.5 87.5 0
"738" -162.5 87.5 0
"739" -161.5 87.5 0
"740" -160.5 87.5 0
